"","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11"
"M.age",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"mat.age",0.012,0.038,0.106,0.258,0.51,0.754,0.904,0.966,0.988,0.998,1
"SSB.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"catch.waa",0.01704,0.05938,0.1236,0.18892,0.27124,0.35318,0.45198,0.55144,0.65562,0.73228,0.97262
"jan1.waa",0.01,0.02504,0.07392,0.14848,0.22864,0.30688,0.39168,0.49434,0.59504,0.69224,0.97262
"sel.age",0.00142912974682239,0.0185512520516948,0.035271277993185,0.0806968595945439,0.151997366093051,0.299706987758419,0.665614999477148,1,1,1,1
"spawn.time",0.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F30%",0.297778826348118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F35%",0.237345588235146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F40%",0.19243417974498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F45%",0.157565185424439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F50%",0.129600105606548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
