"%SPR","F(%SPR)","YPR","SSB.PR","Freport_8-9"
0.2,0.353006109043145,0.156290497530794,0.473944835996304,0.353006109043145
0.25,0.276028348458503,0.155015682328778,0.592643556064371,0.276028348458503
0.3,0.222566996905392,0.151349134739789,0.710917253172131,0.222566996905392
0.35,0.182624726571604,0.145846810028526,0.829403458468409,0.182624726571604
0.4,0.151441403869632,0.138898269200566,0.947889672864461,0.151441403869632
0.45,0.126269405563513,0.130777518096369,1.06637587995681,0.126269405563513
0.5,0.105429693841508,0.121687315814661,1.18486208722703,0.105429693841508
0.55,0.0878319102475423,0.111782282128499,1.3033482977204,0.0878319102475423
0.6,0.0727335363368029,0.101183205873625,1.42183450789277,0.0727335363368029
0.65,0.0596092923306245,0.0899863353910234,1.54032071870394,0.0596092923306245
0.7,0.0480758005542947,0.0782696492015936,1.6588069222426,0.0480758005542947
0.75,0.0378458721595568,0.0660972201658115,1.77729312748041,0.0378458721595568
0.8,0.0286995849755287,0.0535223408839083,1.89577934244423,0.0286995849755287
